TAS1;TAS2;TAS3;TAS4;TAS5;TAS6;TAS7;TAS8;TAS9;TAS10;TAS11;TAS12;TAS13;TAS14;TAS15;TAS16;TAS17;TAS18;TAS19;TAS20;f1;f2;f3;total;sim_A;sim_B
2;1;1;3;1;2;1;1;1;2;1;3;1;1;2;1;1;4;1;1;9;9;13;31;5;3.7
4;2;1;2;4;2;1;1;2;3;2;1;4;1;4;1;2;2;4;1;15;9;20;44;8;5.8
4;4;3;4;2;2;2;3;2;2;2;3;2;1;2;4;2;2;2;2;16;15;19;50;8.5;6.15
4;2;3;1;3;4;4;2;2;2;2;1;1;2;2;1;1;2;2;2;20;7;16;43;10.5;7.55
5;4;2;3;2;4;1;3;4;2;3;2;3;2;2;2;1;2;2;3;21;13;18;52;11;7.9
2;3;1;2;2;1;1;2;3;2;3;3;2;2;3;3;4;2;1;2;12;15;17;44;6.5;4.75
5;5;1;5;5;5;3;4;5;4;3;4;5;5;5;4;5;4;3;4;29;22;33;84;15;10.7
3;4;1;3;2;2;3;3;2;2;2;4;2;4;2;2;4;3;1;1;17;17;16;50;9;6.5
4;3;1;2;2;4;1;4;2;1;2;3;2;1;1;1;5;1;2;1;15;15;13;43;8;5.8
4;4;3;4;1;3;1;2;2;3;2;2;1;1;2;1;4;1;4;3;15;16;17;48;8;5.8
3;2;1;3;2;1;3;2;4;2;3;1;2;2;2;3;1;2;2;3;16;10;18;44;8.5;6.15
4;4;4;4;3;4;3;2;3;2;5;4;4;4;2;1;5;2;2;3;26;22;17;65;13.5;9.65
2;1;3;1;1;4;3;1;2;1;2;1;1;2;2;3;1;2;1;1;17;6;12;35;9;6.5
2;3;1;3;3;2;3;1;2;1;4;3;2;2;3;2;1;1;1;2;14;14;14;42;7.5;5.45
4;4;2;3;2;4;4;2;4;3;2;2;3;4;2;2;2;1;2;1;25;13;15;53;13;9.3
4;4;4;3;2;3;4;1;4;2;4;3;3;3;3;3;3;3;2;4;25;17;20;62;13;9.3
2;2;1;2;2;2;3;1;1;1;2;2;1;2;3;2;2;2;1;3;12;10;15;37;6.5;4.75
2;4;3;4;2;2;4;2;1;1;3;3;2;1;2;3;2;2;1;3;15;16;16;47;8;5.8
5;2;3;4;3;4;3;4;2;1;1;2;2;4;1;1;1;2;1;2;23;10;15;48;12;8.6
4;4;4;3;2;4;4;1;3;1;4;1;3;3;1;3;2;2;5;1;25;14;16;55;13;9.3
2;2;1;2;2;2;3;4;3;1;2;2;2;4;4;2;1;2;2;4;17;9;21;47;9;6.5
2;4;1;3;3;2;4;1;2;1;2;3;3;4;1;3;1;1;3;3;18;13;16;47;9.5;6.85
2;2;1;2;2;2;3;2;2;1;2;4;2;1;2;3;2;1;2;2;13;12;15;40;7;5.1
2;2;1;2;4;1;2;1;1;1;2;2;1;1;2;1;3;4;5;3;9;11;21;41;5;3.7
4;4;3;4;1;3;4;4;3;2;2;5;2;4;3;1;2;2;2;1;23;17;16;56;12;8.6
2;4;2;4;1;4;4;2;4;1;4;3;4;2;1;1;4;2;1;3;22;19;12;53;11.5;8.25
4;4;3;2;1;3;3;5;4;3;1;3;3;4;3;1;2;2;3;5;24;12;23;59;12.5;8.95
4;4;1;2;4;4;1;4;2;4;2;1;2;1;2;4;1;1;1;4;15;10;24;49;8;5.8
4;5;1;5;3;2;4;4;5;1;2;5;5;4;1;1;5;1;5;1;25;22;17;64;13;9.3
4;4;3;3;1;1;2;1;4;2;2;4;2;1;4;5;1;1;1;1;17;14;16;47;9;6.5
1;1;1;1;3;1;3;1;1;1;3;3;1;1;2;3;4;1;5;3;9;12;19;40;5;3.7
2;3;1;4;3;4;1;2;2;2;2;3;1;2;3;3;3;2;2;4;13;15;21;49;7;5.1
4;4;1;4;2;2;2;2;4;2;3;5;2;2;3;3;4;1;5;1;17;20;19;56;9;6.5
2;3;1;4;1;3;3;1;3;2;3;5;2;3;4;3;5;1;2;1;17;20;15;52;9;6.5
4;5;1;4;1;3;4;2;2;2;4;2;2;1;1;3;3;3;4;1;17;18;17;52;9;6.5
2;4;1;1;1;3;5;1;3;1;2;1;1;1;1;1;1;1;1;2;16;9;9;34;8.5;6.15
2;4;1;4;2;1;1;4;1;1;5;5;2;1;4;2;4;2;2;3;9;22;20;51;5;3.7
3;2;1;2;2;2;3;5;4;1;2;1;1;1;2;1;1;2;5;1;15;8;19;42;8;5.8
4;4;3;4;1;4;3;4;2;2;3;5;4;3;2;1;4;1;2;2;23;20;15;58;12;8.6
4;4;1;4;1;5;1;1;4;1;1;1;2;1;2;3;3;4;1;1;18;13;14;45;9.5;6.85
1;3;1;3;1;1;1;1;1;3;1;1;1;1;3;1;4;1;1;1;7;12;12;31;4;3
2;2;1;1;1;4;2;2;2;1;2;1;1;1;1;2;1;1;2;1;13;7;11;31;7;5.1
2;1;3;1;1;3;2;2;2;2;1;2;2;1;3;2;1;3;1;3;15;6;17;38;8;5.8
3;5;1;4;1;1;2;4;3;3;2;4;3;2;2;2;1;1;2;3;15;16;18;49;8;5.8
5;4;1;4;3;4;3;2;4;1;1;4;2;4;3;4;5;1;1;1;23;18;16;57;12;8.6
4;3;1;2;2;2;2;3;3;1;3;2;2;1;2;1;2;1;1;2;15;12;13;40;8;5.8
5;4;1;2;3;1;1;3;4;3;4;3;1;1;1;1;5;2;2;1;14;18;16;48;7.5;5.45
5;4;2;5;3;5;4;2;5;3;5;2;3;5;1;1;4;1;3;2;29;20;16;65;15;10.7
4;2;1;2;2;1;2;4;1;1;1;1;1;2;3;2;1;1;5;2;12;7;20;39;6.5;4.75
4;4;1;4;3;2;3;3;4;2;4;2;3;1;1;1;1;1;1;3;18;15;15;48;9.5;6.85
4;4;1;4;3;3;3;2;2;2;4;1;2;1;2;2;2;1;2;3;16;15;17;48;8.5;6.15
5;4;3;4;1;3;4;1;3;1;3;2;1;4;2;3;1;1;1;1;23;14;11;48;12;8.6
2;3;2;2;1;1;3;1;2;1;2;1;2;1;2;1;1;1;1;1;13;9;9;31;7;5.1
